
Date
Price
Open
High
Low
Volume
Chg%
Apr 13, 2021	320.40	320.41	320.88	317.28	3.64M	-0.12%
Apr 12, 2021	320.79	318.22	321.29	317.54	3.56M	0.49%
Apr 09, 2021	319.23	315.37	319.32	314.75	4.61M	1.53%
Apr 08, 2021	314.43	312.70	315.25	310.59	4.04M	0.63%
Apr 07, 2021	312.47	313.21	315.09	311.03	3.80M	-0.42%
Apr 06, 2021	313.78	313.68	315.90	313.16	3.99M	-0.51%
Apr 05, 2021	315.40	309.85	315.81	309.80	4.70M	2.49%
Apr 01, 2021	307.75	306.88	308.55	303.89	3.92M	0.82%
Mar 31, 2021	305.25	305.49	308.02	304.28	4.74M	0.14%
Mar 30, 2021	304.82	301.57	305.65	300.04	5.05M	0.87%
Mar 29, 2021	302.20	303.56	305.47	299.96	4.64M	-0.53%
Mar 26, 2021	303.81	297.34	304.00	296.03	5.87M	2.23%
Mar 25, 2021	297.18	293.01	297.74	292.55	5.37M	1.51%
Mar 24, 2021	292.75	289.48	296.77	289.26	4.84M	0.96%
Mar 23, 2021	289.98	289.21	293.32	289.21	4.80M	0.36%
Mar 22, 2021	288.94	286.93	290.31	284.21	5.56M	-0.06%
Mar 19, 2021	289.10	283.64	289.10	282.43	13.73M	2.10%
Mar 18, 2021	283.16	279.63	285.47	277.85	4.81M	1.12%
Mar 17, 2021	280.03	281.30	283.83	279.25	5.91M	-0.73%
Mar 16, 2021	282.08	278.54	282.50	277.66	4.46M	1.27%
Mar 15, 2021	278.54	274.54	279.65	274.35	4.36M	1.99%
Mar 12, 2021	273.10	267.28	273.77	267.00	4.19M	1.58%
Mar 11, 2021	268.85	268.31	270.74	267.23	4.37M	0.98%
Mar 10, 2021	266.24	265.71	268.74	264.10	3.80M	0.48%
Mar 09, 2021	264.96	262.45	267.55	261.89	6.63M	2.29%
Mar 08, 2021	259.03	253.21	263.18	252.52	5.04M	2.17%
Mar 05, 2021	253.52	252.26	254.20	246.59	6.35M	1.03%
Mar 04, 2021	250.93	256.05	256.86	247.10	7.15M	-2.50%
Mar 03, 2021	257.36	259.32	260.31	256.05	4.26M	-1.13%
