Date,Close,Open,High,Low,Volume,Change
"Apr 13, 2021",60.18,59.64,60.59,59.64,349.73K,0.80%
"Apr 12, 2021",59.7,59.35,60.77,58.73,410.22K,0.64%
"Apr 09, 2021",59.32,59.76,59.95,59.1,351.44K,-0.47%
"Apr 08, 2021",59.6,59.52,59.93,58.82,419.91K,-0.28%
"Apr 07, 2021",59.77,59.26,60.04,58.12,475.54K,0.74%
"Apr 06, 2021",59.33,58.8,60.9,58.62,457.35K,1.16%
"Apr 05, 2021",58.65,61.5,61.5,57.63,438.86K,-4.56%
"Apr 01, 2021",61.45,59.49,61.75,58.86,605.57K,3.87%
"Mar 31, 2021",59.16,60.45,61.17,58.85,414.16K,-2.30%
"Mar 30, 2021",60.55,61.96,62.27,59.94,388.19K,-1.64%
"Mar 29, 2021",61.56,60.93,61.77,59.41,449.36K,0.97%
"Mar 26, 2021",60.97,58.48,61.36,58.32,472.00K,4.12%
"Mar 25, 2021",58.56,60.8,60.86,57.44,580.11K,-4.28%
"Mar 24, 2021",61.18,57.4,61.34,57.29,566.29K,5.92%
"Mar 23, 2021",57.76,61.28,61.35,57.25,712.32K,-6.16%
"Mar 22, 2021",61.55,61.55,61.9,60.39,28.26K,0.21%
"Mar 19, 2021",61.42,59.56,61.72,58.94,84.17K,2.37%
"Mar 18, 2021",60,64.42,64.82,58.2,143.60K,-7.12%
"Mar 17, 2021",64.6,64.75,65.34,63.6,254.72K,-0.31%
"Mar 16, 2021",64.8,65.33,65.43,63.8,317.54K,-0.90%
"Mar 15, 2021",65.39,65.56,66.4,64.13,378.01K,-0.34%
"Mar 12, 2021",65.61,65.96,66.24,65.41,321.71K,-0.62%
"Mar 11, 2021",66.02,64.7,66.21,64.54,441.06K,2.45%
"Mar 10, 2021",64.44,63.84,64.96,63.13,498.49K,0.67%
"Mar 09, 2021",64.01,64.73,65.98,63.63,554.56K,-1.60%
"Mar 08, 2021",65.05,66.68,67.98,64.57,533.38K,-1.57%
"Mar 05, 2021",66.09,64.16,66.42,63.82,573.17K,3.54%
"Mar 04, 2021",63.83,61.08,64.86,60.52,694.63K,4.16%
"Mar 03, 2021",61.28,59.55,61.99,59.24,465.31K,2.56%
"Mar 02, 2021",59.75,60.23,61.21,59.38,464.13K,-1.47%
"Mar 01, 2021",60.64,61.95,62.92,59.96,456.68K,-1.40%
"Feb 26, 2021",61.5,63.46,63.57,61.34,472.72K,-3.20%
"Feb 25, 2021",63.53,63.39,63.81,62.65,510.36K,0.49%
"Feb 24, 2021",63.22,61.29,63.51,60.97,489.93K,2.51%
"Feb 23, 2021",61.67,62.16,63,60.67,570.68K,0.29%
"Feb 22, 2021",61.49,58.88,61.84,58.82,37.04K,3.80%
"Feb 19, 2021",59.24,60.2,60.29,58.59,102.43K,-2.12%
"Feb 18, 2021",60.52,61.68,62.26,59.79,132.04K,-1.01%
"Feb 17, 2021",61.14,60.24,61.73,59.43,335.42K,1.82%
"Feb 16, 2021",60.05,59.98,60.95,59.33,602.33K,-0.07%
"Feb 15, 2021",60.09,60.36,60.95,59.96,0,-0.46%
"Feb 14, 2021",60.37,60.01,60.75,60.01,0,1.51%
"Feb 12, 2021",59.47,57.94,59.82,57.41,480.82K,2.11%
"Feb 11, 2021",58.24,58.4,58.71,57.84,380.45K,-0.75%
"Feb 10, 2021",58.68,58.45,58.91,58.08,457.54K,0.55%
"Feb 09, 2021",58.36,58.11,58.62,57.27,514.70K,0.67%
"Feb 08, 2021",57.97,57.06,58.14,57,399.72K,1.97%
"Feb 05, 2021",56.85,56.46,57.29,56.43,400.83K,1.10%
"Feb 04, 2021",56.23,55.96,56.58,55.3,381.40K,0.97%
"Feb 03, 2021",55.69,55.05,56.33,54.81,448.69K,1.70%
"Feb 02, 2021",54.76,53.48,55.26,53.45,463.72K,2.26%
"Feb 01, 2021",53.55,51.99,53.74,51.64,416.07K,2.59%
"Jan 29, 2021",52.2,52.15,53.25,51.93,410.91K,-0.27%
"Jan 28, 2021",52.34,52.65,53.58,52.04,411.41K,-0.96%
"Jan 27, 2021",52.85,52.76,53.3,51.85,442.38K,0.46%
"Jan 26, 2021",52.61,52.91,53.25,52.29,314.54K,-0.30%
"Jan 25, 2021",52.77,52.17,52.95,51.82,349.08K,0.96%
"Jan 22, 2021",52.27,53.1,53.16,51.44,437.48K,-1.62%
"Jan 21, 2021",53.13,52.93,53.41,52.75,352.40K,-0.21%
"Jan 20, 2021",53.24,53.13,53.79,53.05,37.84K,0.49%
"Jan 19, 2021",52.98,52,53.13,51.76,125.96K,1.18%
"Jan 18, 2021",52.36,52.2,52.61,51.83,0,0.31%
"Jan 17, 2021",52.2,52.09,52.38,52.09,0,-0.31%
"Jan 15, 2021",52.36,53.8,53.83,51.83,165.67K,-2.26%
"Jan 14, 2021",53.57,52.84,53.75,52.24,390.09K,1.25%
"Jan 13, 2021",52.91,53.31,53.93,52.58,429.90K,-0.56%
"Jan 12, 2021",53.21,52.18,53.45,52.07,400.20K,1.84%
"Jan 11, 2021",52.25,52.58,52.7,51.5,394.82K,0.02%
"Jan 08, 2021",52.24,50.93,52.75,50.81,499.42K,2.77%
"Jan 07, 2021",50.83,50.53,51.28,50.39,369.29K,0.40%
